:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2018 Jul 09 0200 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2018 01         9.0    10.0     8.0       74.0    75.0    73.0
2018 02         8.8    10.8     6.8       73.4    74.4    72.4
2018 03         7.9    10.9     4.9       72.1    74.1    70.1
2018 04         7.4    12.4     2.4       70.8    73.8    67.8
2018 05         7.8    12.8     2.8       70.3    74.3    66.3
2018 06         8.3    14.3     2.3       70.0    74.0    66.0
2018 07         8.7    15.7     1.7       69.7    74.7    64.7
2018 08         9.0    16.0     2.0       69.3    75.3    63.3
2018 09         9.3    17.3     1.3       69.0    76.0    62.0
2018 10         9.6    18.6     0.6       68.7    76.7    60.7
2018 11         9.7    18.7     0.7       68.2    76.2    60.2
2018 12         9.5    19.5     0.0       67.6    76.6    60.0
2019 01         9.1    19.1     0.0       67.0    76.0    60.0
2019 02         8.3    18.3     0.0       66.3    75.3    60.0
2019 03         7.8    17.8     0.0       65.9    74.9    60.0
2019 04         7.3    17.3     0.0       65.4    74.4    60.0
2019 05         6.8    16.8     0.0       65.0    74.0    60.0
2019 06         6.4    16.4     0.0       64.5    73.5    60.0
2019 07         5.9    15.9     0.0       64.1    73.1    60.0
2019 08         5.5    15.5     0.0       63.8    72.8    60.0
2019 09         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
